"tipatrans","transcr_lemma","lemma","prep","form","tokens","prop"
"va dn\'o","dn\'o","дно","v","дно",127,0.06
"ka dn\'u","dn\'o","дно","k","дну",541,0.95
"sa dn\'a","dn\'o","дно","s","дна",824,0.99
"sa dn\'om","dn\'o","дно","s","дном",21,0.09
"va dn\'\i SS\super j@","dn\'\i SS\super j@","днище","v","днище",50,0.0
"ka dn\'\i SS\super ju","dn\'\i SS\super j@","днище","k","днищу",24,0.0
"sa dn\'\i SS\super j@","dn\'\i SS\super j@","днище","s","днища",5,0.0
