"cluster","stress","rime","s_better","subject","word"
"rn","final","uk",FALSE,"281","rnuk"
"fs","final","up",TRUE,"281","fsup"
"vz","initial","Iv",FALSE,"281","vzIv"
"rn","initial","Ub",TRUE,"282","rnUb"
"rd","initial","Uk",FALSE,"282","rdUk"
"ms","final","in",TRUE,"282","msin"
"vd","initial","Iv",TRUE,"282","vdIv"
"vz","initial","Un",TRUE,"282","vzUn"
"shr","final","in",TRUE,"282","shrin"
"vn","final","ug",TRUE,"282","vnug"
"k","initial","Ug",TRUE,"282","kUg"
"xr","final","ix",TRUE,"282","xrix"
"sht","final","ug",TRUE,"282","shtug"
"fs","initial","Iv",FALSE,"282","fsIv"
"xs","final","un",TRUE,"282","xsun"
"shr","initial","Ix",FALSE,"282","shrIx"
"ms","initial","Up",TRUE,"282","msUp"
"xs","initial","Iz",TRUE,"282","xsIz"
"vd","final","uf",TRUE,"282","vduf"
"vn","final","ig",FALSE,"282","vnig"
"rn","initial","In",TRUE,"282","rnIn"
"xr","initial","Uf",TRUE,"282","xrUf"
"k","initial","Ib",TRUE,"282","kIb"
"vz","final","ib",TRUE,"282","vzib"
"rd","initial","In",TRUE,"282","rdIn"
"fs","final","up",TRUE,"282","fsup"
"sht","final","iz",FALSE,"282","shtiz"
"ms","final","um",FALSE,"282","msum"
"fs","initial","Uk",TRUE,"282","fsUk"
"xs","final","iv",TRUE,"282","xsiv"
"vd","final","ib",TRUE,"282","vdib"
"xr","final","un",TRUE,"282","xrun"
"vz","initial","Iv",FALSE,"282","vzIv"
"shr","initial","Up",TRUE,"282","shrUp"
"rd","final","ib",TRUE,"282","rdib"
"vn","initial","In",TRUE,"282","vnIn"
"sht","initial","Ix",FALSE,"282","shtIx"
"k","final","un",TRUE,"282","kun"
"rn","final","uk",TRUE,"282","rnuk"
"vn","initial","Ub",TRUE,"282","vnUb"
"vd","initial","Up",TRUE,"282","vdUp"
"xs","initial","Um",FALSE,"282","xsUm"
"sht","initial","Um",FALSE,"282","shtUm"
"rn","final","ig",FALSE,"282","rnig"
"fs","final","ix",TRUE,"282","fsix"
"xr","initial","Id",TRUE,"282","xrId"
"rd","final","ub",TRUE,"282","rdub"
"shr","final","um",TRUE,"282","shrum"
"vz","final","uk",TRUE,"282","vzuk"
"k","final","id",TRUE,"282","kid"
"ms","initial","Ig",TRUE,"282","msIg"
"sht","final","un",FALSE,"293","shtun"
"vz","final","in",FALSE,"293","vzin"
"rn","initial","Uf",TRUE,"293","rnUf"
"fs","final","un",TRUE,"293","fsun"
"xs","final","up",TRUE,"293","xsup"
"vd","initial","In",TRUE,"293","vdIn"
"vn","final","ib",TRUE,"293","vnib"
"shr","final","uk",TRUE,"293","shruk"
"ms","initial","Iz",FALSE,"293","msIz"
"xr","final","iv",TRUE,"293","xriv"
"rd","final","ug",TRUE,"293","rdug"
"k","initial","Iv",TRUE,"293","kIv"
"rd","initial","Un",TRUE,"293","rdUn"
"fs","final","ig",TRUE,"293","fsig"
"rn","final","iv",TRUE,"293","rniv"
"shr","initial","Un",TRUE,"293","shrUn"
"xr","final","um",TRUE,"293","xrum"
"vd","initial","Um",TRUE,"293","vdUm"
"k","final","up",FALSE,"293","kup"
"vz","initial","Id",TRUE,"293","vzId"
"sht","initial","Up",TRUE,"293","shtUp"
"vn","initial","Up",TRUE,"293","vnUp"
"xs","initial","Uk",TRUE,"293","xsUk"
"ms","initial","Ub",TRUE,"293","msUb"
"k","initial","Uf",TRUE,"293","kUf"
"fs","initial","In",TRUE,"293","fsIn"
"shr","final","ib",TRUE,"293","shrib"
"xr","initial","Ig",TRUE,"293","xrIg"
"sht","final","in",FALSE,"293","shtin"
"vn","final","un",TRUE,"293","vnun"
"rd","final","ig",FALSE,"293","rdig"
"rn","initial","Ix",TRUE,"293","rnIx"
"vz","initial","Up",TRUE,"293","vzUp"
"vd","final","iz",TRUE,"293","vdiz"
"ms","final","uf",TRUE,"293","msuf"
"xs","initial","Ix",TRUE,"293","xsIx"
"vn","initial","Id",TRUE,"293","vnId"
"vz","final","ub",TRUE,"293","vzub"
"rd","initial","Iv",TRUE,"293","rdIv"
"sht","initial","Ib",TRUE,"293","shtIb"
"xs","final","in",FALSE,"293","xsin"
"fs","initial","Um",TRUE,"293","fsUm"
"k","final","iz",TRUE,"293","kiz"
"shr","initial","Iv",FALSE,"293","shrIv"
"vd","final","uk",TRUE,"293","vduk"
"xr","initial","Ub",TRUE,"293","xrUb"
"rn","final","ug",TRUE,"293","rnug"
"ms","final","ix",TRUE,"293","msix"
"rn","initial","Uf",FALSE,"295","rnUf"
"sht","initial","Up",FALSE,"295","shtUp"
"shr","initial","Un",FALSE,"295","shrUn"
"vd","final","iz",FALSE,"295","vdiz"
"fs","initial","In",FALSE,"295","fsIn"
"xs","final","up",TRUE,"295","xsup"
"rd","final","ug",TRUE,"295","rdug"
"vn","initial","Up",TRUE,"295","vnUp"
"xr","final","um",TRUE,"295","xrum"
"k","final","up",FALSE,"295","kup"
"vz","final","in",TRUE,"295","vzin"
"ms","initial","Iz",TRUE,"295","msIz"
"ms","final","uf",FALSE,"295","msuf"
"k","initial","Uf",TRUE,"295","kUf"
"vd","final","uk",FALSE,"295","vduk"
"sht","initial","Ib",FALSE,"295","shtIb"
"rd","initial","Iv",TRUE,"295","rdIv"
"vz","final","ub",FALSE,"295","vzub"
"vn","final","un",TRUE,"295","vnun"
"xs","final","in",TRUE,"295","xsin"
"fs","initial","Um",TRUE,"295","fsUm"
"shr","initial","Iv",FALSE,"295","shrIv"
"xr","initial","Ub",TRUE,"295","xrUb"
"rn","final","ug",FALSE,"295","rnug"
"shr","final","ib",FALSE,"295","shrib"
"vn","initial","Id",TRUE,"295","vnId"
"rd","initial","Un",FALSE,"295","rdUn"
"xs","initial","Uk",TRUE,"295","xsUk"
"xr","initial","Ig",TRUE,"295","xrIg"
"ms","final","ix",FALSE,"295","msix"
"fs","final","un",FALSE,"295","fsun"
"vz","initial","Id",TRUE,"295","vzId"
"vd","initial","In",TRUE,"295","vdIn"
"k","initial","Iv",TRUE,"295","kIv"
"rn","final","iv",TRUE,"295","rniv"
"sht","final","in",TRUE,"295","shtin"
"shr","final","uk",TRUE,"295","shruk"
"vd","initial","Um",FALSE,"295","vdUm"
"sht","final","un",TRUE,"295","shtun"
"xs","initial","Ix",TRUE,"295","xsIx"
"k","final","iz",TRUE,"295","kiz"
"vz","initial","Up",TRUE,"295","vzUp"
"ms","initial","Ub",TRUE,"295","msUb"
"fs","final","ig",FALSE,"295","fsig"
"vn","final","ib",TRUE,"295","vnib"
"xr","final","iv",TRUE,"295","xriv"
"rd","final","ig",TRUE,"295","rdig"
"rn","initial","Ix",TRUE,"295","rnIx"
"shr","final","in",FALSE,"300","shrin"
"fs","initial","Uk",FALSE,"300","fsUk"
"vz","initial","Iv",TRUE,"300","vzIv"
"rn","initial","In",TRUE,"300","rnIn"
"rd","final","ub",TRUE,"300","rdub"
"vn","final","ig",TRUE,"300","vnig"
"sht","final","ug",TRUE,"300","shtug"
"ms","initial","Ig",FALSE,"300","msIg"
"k","initial","Ug",TRUE,"300","kUg"
"xr","final","ix",TRUE,"300","xrix"
"xs","initial","Um",FALSE,"300","xsUm"
"vd","initial","Up",TRUE,"300","vdUp"
"rd","final","ib",TRUE,"300","rdib"
"k","final","un",TRUE,"300","kun"
"xs","final","iv",TRUE,"300","xsiv"
"ms","initial","Up",FALSE,"300","msUp"
"vz","final","uk",TRUE,"300","vzuk"
"sht","initial","Ix",TRUE,"300","shtIx"
"fs","final","ix",TRUE,"300","fsix"
"vd","final","uf",TRUE,"300","vduf"
"vn","initial","In",TRUE,"300","vnIn"
"xr","initial","Id",TRUE,"300","xrId"
"rn","initial","Ub",TRUE,"300","rnUb"
"shr","final","um",TRUE,"300","shrum"
"fs","final","up",FALSE,"300","fsup"
"k","final","id",TRUE,"300","kid"
"vz","initial","Un",FALSE,"300","vzUn"
"xr","initial","Uf",TRUE,"300","xrUf"
"xs","initial","Iz",FALSE,"300","xsIz"
"ms","final","in",TRUE,"300","msin"
"sht","final","iz",TRUE,"300","shtiz"
"vn","final","ug",TRUE,"300","vnug"
"shr","initial","Up",TRUE,"300","shrUp"
"vd","final","ib",TRUE,"300","vdib"
"rn","final","uk",TRUE,"300","rnuk"
"rd","initial","Uk",FALSE,"300","rdUk"
"vn","initial","Ub",FALSE,"300","vnUb"
"vd","initial","Iv",TRUE,"300","vdIv"
"shr","initial","Ix",TRUE,"300","shrIx"
"ms","final","um",TRUE,"300","msum"
"sht","initial","Um",TRUE,"300","shtUm"
"rd","initial","In",TRUE,"300","rdIn"
"fs","initial","Iv",FALSE,"300","fsIv"
"xr","final","un",TRUE,"300","xrun"
"rn","final","ig",TRUE,"300","rnig"
"xs","final","un",TRUE,"300","xsun"
"vz","final","ib",FALSE,"300","vzib"
"k","initial","Ib",TRUE,"300","kIb"
"rn","initial","In",TRUE,"302","rnIn"
"vd","initial","Iv",FALSE,"302","vdIv"
"ms","final","um",TRUE,"302","msum"
"shr","final","um",TRUE,"302","shrum"
"k","initial","Ug",TRUE,"302","kUg"
"fs","final","ix",FALSE,"302","fsix"
"rd","final","ib",FALSE,"302","rdib"
"vn","final","ig",TRUE,"302","vnig"
"vz","final","uk",TRUE,"302","vzuk"
"xs","initial","Um",FALSE,"302","xsUm"
"xr","final","ix",TRUE,"302","xrix"
"sht","final","iz",FALSE,"302","shtiz"
"shr","initial","Ix",FALSE,"302","shrIx"
"ms","final","in",TRUE,"302","msin"
"xr","initial","Uf",TRUE,"302","xrUf"
"vn","initial","In",TRUE,"302","vnIn"
"vz","initial","Iv",FALSE,"302","vzIv"
"k","final","id",TRUE,"302","kid"
"rd","initial","Uk",TRUE,"302","rdUk"
"vd","initial","Up",TRUE,"302","vdUp"
"sht","final","ug",FALSE,"302","shtug"
"xs","initial","Iz",TRUE,"302","xsIz"
"rn","final","uk",FALSE,"302","rnuk"
"fs","final","up",TRUE,"302","fsup"
"vz","final","ib",TRUE,"302","vzib"
"sht","initial","Ix",FALSE,"302","shtIx"
"ms","initial","Ig",FALSE,"302","msIg"
"rn","initial","Ub",TRUE,"302","rnUb"
"shr","initial","Up",FALSE,"302","shrUp"
"vn","initial","Ub",TRUE,"302","vnUb"
"fs","initial","Uk",FALSE,"302","fsUk"
"vd","final","uf",FALSE,"302","vduf"
"xs","final","iv",TRUE,"302","xsiv"
"xr","initial","Id",TRUE,"302","xrId"
"k","initial","Ib",TRUE,"302","kIb"
"rd","final","ub",TRUE,"302","rdub"
"vd","final","ib",TRUE,"302","vdib"
"xr","final","un",TRUE,"302","xrun"
"sht","initial","Um",FALSE,"302","shtUm"
"xs","final","un",FALSE,"302","xsun"
"vn","final","ug",TRUE,"302","vnug"
"fs","initial","Iv",FALSE,"302","fsIv"
"rn","final","ig",TRUE,"302","rnig"
"vz","initial","Un",FALSE,"302","vzUn"
"shr","final","in",FALSE,"302","shrin"
"k","final","un",TRUE,"302","kun"
"ms","initial","Up",FALSE,"302","msUp"
"rd","initial","In",TRUE,"302","rdIn"
"vn","initial","In",TRUE,"303","vnIn"
"shr","final","in",FALSE,"303","shrin"
"fs","final","up",TRUE,"303","fsup"
"vd","initial","Up",TRUE,"303","vdUp"
"sht","initial","Um",TRUE,"303","shtUm"
"rn","initial","Ub",TRUE,"303","rnUb"
"rd","initial","In",TRUE,"303","rdIn"
"xs","final","un",TRUE,"303","xsun"
"vz","final","uk",TRUE,"303","vzuk"
"xr","initial","Uf",TRUE,"303","xrUf"
"ms","final","um",TRUE,"303","msum"
"k","initial","Ug",TRUE,"303","kUg"
"vz","initial","Iv",TRUE,"303","vzIv"
"xr","final","un",TRUE,"303","xrun"
"rd","final","ib",TRUE,"303","rdib"
"k","initial","Ib",TRUE,"303","kIb"
"sht","initial","Ix",FALSE,"303","shtIx"
"rn","initial","In",TRUE,"303","rnIn"
"ms","initial","Ig",FALSE,"303","msIg"
"xs","initial","Um",FALSE,"303","xsUm"
"fs","initial","Uk",FALSE,"303","fsUk"
"vn","final","ig",FALSE,"303","vnig"
"vd","final","uf",FALSE,"303","vduf"
"shr","final","um",TRUE,"303","shrum"
"k","final","id",TRUE,"303","kid"
"rn","final","ig",FALSE,"303","rnig"
"sht","final","iz",FALSE,"303","shtiz"
"xs","final","iv",TRUE,"303","xsiv"
"fs","initial","Iv",TRUE,"303","fsIv"
"vz","final","ib",TRUE,"303","vzib"
"vn","initial","Ub",TRUE,"303","vnUb"
"rd","final","ub",TRUE,"303","rdub"
"ms","initial","Up",TRUE,"303","msUp"
"vd","final","ib",TRUE,"303","vdib"
"xr","final","ix",TRUE,"303","xrix"
"shr","initial","Up",TRUE,"303","shrUp"
"rd","initial","Uk",TRUE,"303","rdUk"
"vd","initial","Iv",TRUE,"303","vdIv"
"fs","final","ix",TRUE,"303","fsix"
"vz","initial","Un",FALSE,"303","vzUn"
"xs","initial","Iz",TRUE,"303","xsIz"
"k","final","un",TRUE,"303","kun"
"shr","initial","Ix",FALSE,"303","shrIx"
"rn","final","uk",TRUE,"303","rnuk"
"xr","initial","Id",TRUE,"303","xrId"
"ms","final","in",TRUE,"303","msin"
"sht","final","ug",FALSE,"303","shtug"
"vn","final","ug",TRUE,"303","vnug"
"k","initial","Iv",TRUE,"306","kIv"
"rn","final","ug",TRUE,"306","rnug"
"shr","final","ib",FALSE,"306","shrib"
"vd","final","iz",TRUE,"306","vdiz"
"rd","initial","Iv",TRUE,"306","rdIv"
"vn","final","ib",FALSE,"306","vnib"
"ms","initial","Ub",FALSE,"306","msUb"
"sht","initial","Up",FALSE,"306","shtUp"
"fs","final","ig",FALSE,"306","fsig"
"xs","initial","Uk",TRUE,"306","xsUk"
"vz","initial","Up",FALSE,"306","vzUp"
"xr","final","um",TRUE,"306","xrum"
"sht","final","un",TRUE,"306","shtun"
"xs","initial","Ix",TRUE,"306","xsIx"
"rn","initial","Uf",FALSE,"306","rnUf"
"vd","initial","In",TRUE,"306","vdIn"
"rd","final","ug",TRUE,"306","rdug"
"vz","initial","Id",FALSE,"306","vzId"
"ms","final","ix",FALSE,"306","msix"
"xr","initial","Ig",TRUE,"306","xrIg"
"shr","initial","Un",TRUE,"306","shrUn"
"fs","initial","Um",TRUE,"306","fsUm"
"k","final","up",FALSE,"306","kup"
"vn","final","un",TRUE,"306","vnun"
"fs","final","un",TRUE,"306","fsun"
"vn","initial","Up",TRUE,"306","vnUp"
"ms","initial","Iz",TRUE,"306","msIz"
"vz","final","in",FALSE,"306","vzin"
"rn","final","iv",TRUE,"306","rniv"
"sht","initial","Ib",TRUE,"306","shtIb"
"xr","initial","Ub",TRUE,"306","xrUb"
"xs","final","in",FALSE,"306","xsin"
"vd","final","uk",TRUE,"306","vduk"
"k","initial","Uf",TRUE,"306","kUf"
"shr","initial","Iv",TRUE,"306","shrIv"
"rd","final","ig",TRUE,"306","rdig"
"ms","final","uf",TRUE,"306","msuf"
"sht","final","in",FALSE,"306","shtin"
"rn","initial","Ix",TRUE,"306","rnIx"
"vz","final","ub",TRUE,"306","vzub"
"rd","initial","Un",FALSE,"306","rdUn"
"shr","final","uk",TRUE,"306","shruk"
"xs","final","up",TRUE,"306","xsup"
"vd","initial","Um",TRUE,"306","vdUm"
"xr","final","iv",TRUE,"306","xriv"
"k","final","iz",TRUE,"306","kiz"
"fs","initial","In",TRUE,"306","fsIn"
"vn","initial","Id",TRUE,"306","vnId"
"sht","final","un",TRUE,"308","shtun"
"rn","final","iv",TRUE,"308","rniv"
"vd","final","uk",TRUE,"308","vduk"
"vz","final","ub",FALSE,"308","vzub"
"xs","final","in",FALSE,"308","xsin"
"rd","initial","Iv",FALSE,"308","rdIv"
"ms","initial","Iz",FALSE,"308","msIz"
"fs","final","ig",TRUE,"308","fsig"
"xr","initial","Ig",TRUE,"308","xrIg"
"k","initial","Uf",TRUE,"308","kUf"
"shr","final","ib",TRUE,"308","shrib"
"vn","final","ib",TRUE,"308","vnib"
"ms","final","uf",TRUE,"308","msuf"
"sht","initial","Up",FALSE,"308","shtUp"
"rn","final","ug",TRUE,"308","rnug"
"xr","initial","Ub",TRUE,"308","xrUb"
"fs","final","un",FALSE,"308","fsun"
"xs","initial","Ix",FALSE,"308","xsIx"
"vz","initial","Id",FALSE,"308","vzId"
"shr","initial","Iv",TRUE,"308","shrIv"
"vd","initial","Um",FALSE,"308","vdUm"
"k","initial","Iv",TRUE,"308","kIv"
"vn","initial","Id",FALSE,"308","vnId"
"rd","final","ug",FALSE,"308","rdug"
"xs","final","up",TRUE,"308","xsup"
"xr","final","um",TRUE,"308","xrum"
"vn","final","un",FALSE,"308","vnun"
"vd","initial","In",FALSE,"308","vdIn"
"k","final","iz",TRUE,"308","kiz"
"rn","initial","Uf",FALSE,"308","rnUf"
"fs","initial","Um",FALSE,"308","fsUm"
"ms","final","ix",TRUE,"308","msix"
"vz","initial","Up",FALSE,"308","vzUp"
"shr","final","uk",FALSE,"308","shruk"
"rd","final","ig",FALSE,"308","rdig"
"sht","initial","Ib",FALSE,"308","shtIb"
"shr","initial","Un",FALSE,"308","shrUn"
"xs","initial","Uk",FALSE,"308","xsUk"
"fs","initial","In",FALSE,"308","fsIn"
"rd","initial","Un",FALSE,"308","rdUn"
"rn","initial","Ix",FALSE,"308","rnIx"
"k","final","up",FALSE,"308","kup"
"vn","initial","Up",FALSE,"308","vnUp"
"sht","final","in",FALSE,"308","shtin"
"ms","initial","Ub",FALSE,"308","msUb"
"vd","final","iz",TRUE,"308","vdiz"
"vz","final","in",FALSE,"308","vzin"
"xr","final","iv",TRUE,"308","xriv"
"vd","initial","Up",TRUE,"312","vdUp"
"vn","initial","In",FALSE,"312","vnIn"
"vz","final","uk",TRUE,"312","vzuk"
"rd","final","ub",TRUE,"312","rdub"
"fs","initial","Iv",TRUE,"312","fsIv"
"rn","initial","In",TRUE,"312","rnIn"
"shr","initial","Up",FALSE,"312","shrUp"
"ms","final","in",FALSE,"312","msin"
"xs","initial","Um",TRUE,"312","xsUm"
"k","initial","Ib",TRUE,"312","kIb"
"xr","initial","Uf",TRUE,"312","xrUf"
"sht","initial","Ix",FALSE,"312","shtIx"
"k","initial","Ug",TRUE,"312","kUg"
"rd","final","ib",FALSE,"312","rdib"
"shr","initial","Ix",TRUE,"312","shrIx"
"ms","initial","Up",FALSE,"312","msUp"
"fs","initial","Uk",FALSE,"312","fsUk"
"xs","final","iv",TRUE,"312","xsiv"
"vz","initial","Iv",TRUE,"312","vzIv"
"vd","final","ib",TRUE,"312","vdib"
"xr","initial","Id",TRUE,"312","xrId"
"sht","final","iz",FALSE,"312","shtiz"
"vn","final","ug",TRUE,"312","vnug"
"rn","final","uk",TRUE,"312","rnuk"
"fs","final","ix",TRUE,"312","fsix"
"vd","initial","Iv",FALSE,"312","vdIv"
"rn","initial","Ub",TRUE,"312","rnUb"
"vn","final","ig",FALSE,"312","vnig"
"xr","final","un",TRUE,"312","xrun"
"shr","final","in",FALSE,"312","shrin"
"rd","initial","In",TRUE,"312","rdIn"
"sht","final","ug",TRUE,"312","shtug"
"ms","final","um",TRUE,"312","msum"
"vz","final","ib",FALSE,"312","vzib"
"k","final","id",TRUE,"312","kid"
"xs","final","un",TRUE,"312","xsun"
"shr","final","um",TRUE,"312","shrum"
"vn","initial","Ub",TRUE,"312","vnUb"
"vz","initial","Un",FALSE,"312","vzUn"
"xr","final","ix",TRUE,"312","xrix"
"sht","initial","Um",FALSE,"312","shtUm"
"fs","final","up",TRUE,"312","fsup"
"ms","initial","Ig",TRUE,"312","msIg"
"rn","final","ig",FALSE,"312","rnig"
"xs","initial","Iz",TRUE,"312","xsIz"
"rd","initial","Uk",TRUE,"312","rdUk"
"vd","final","uf",TRUE,"312","vduf"
"k","final","un",TRUE,"312","kun"
"shr","initial","Ix",FALSE,"315","shrIx"
"rn","initial","In",FALSE,"315","rnIn"
"xr","initial","Id",TRUE,"315","xrId"
"xs","initial","Um",TRUE,"315","xsUm"
"vz","final","uk",FALSE,"315","vzuk"
"vn","initial","Ub",FALSE,"315","vnUb"
"vd","initial","Iv",FALSE,"315","vdIv"
"k","initial","Ug",TRUE,"315","kUg"
"fs","final","up",FALSE,"315","fsup"
"rd","final","ib",FALSE,"315","rdib"
"ms","initial","Ig",FALSE,"315","msIg"
"sht","final","iz",FALSE,"315","shtiz"
"fs","initial","Iv",FALSE,"315","fsIv"
"sht","final","ug",FALSE,"315","shtug"
"k","final","un",TRUE,"315","kun"
"rn","initial","Ub",FALSE,"315","rnUb"
"shr","initial","Up",FALSE,"315","shrUp"
"xr","final","ix",FALSE,"315","xrix"
"xs","final","iv",FALSE,"315","xsiv"
"rd","final","ub",TRUE,"315","rdub"
"vz","initial","Iv",FALSE,"315","vzIv"
"ms","final","um",FALSE,"315","msum"
"vn","initial","In",TRUE,"315","vnIn"
"vd","final","ib",FALSE,"315","vdib"
"shr","final","um",FALSE,"315","shrum"
"vz","final","ib",FALSE,"315","vzib"
"vn","final","ig",TRUE,"315","vnig"
"sht","initial","Um",FALSE,"315","shtUm"
"rd","initial","In",FALSE,"315","rdIn"
"fs","initial","Uk",TRUE,"315","fsUk"
"vd","initial","Up",TRUE,"315","vdUp"
"rn","final","ig",FALSE,"315","rnig"
"k","initial","Ib",TRUE,"315","kIb"
"ms","initial","Up",FALSE,"315","msUp"
"xs","initial","Iz",FALSE,"315","xsIz"
"xr","final","un",TRUE,"315","xrun"
"xs","final","un",FALSE,"315","xsun"
"vz","initial","Un",TRUE,"315","vzUn"
"fs","final","ix",FALSE,"315","fsix"
"rd","initial","Uk",FALSE,"315","rdUk"
"k","final","id",TRUE,"315","kid"
"vn","final","ug",TRUE,"315","vnug"
"rn","final","uk",TRUE,"315","rnuk"
"ms","final","in",FALSE,"315","msin"
"vd","final","uf",FALSE,"315","vduf"
"shr","final","in",FALSE,"315","shrin"
"sht","initial","Ix",FALSE,"315","shtIx"
"xr","initial","Uf",TRUE,"315","xrUf"
"fs","final","ig",TRUE,"320","fsig"
"vd","final","uk",FALSE,"320","vduk"
"rn","initial","Ix",FALSE,"320","rnIx"
"vz","initial","Id",FALSE,"320","vzId"
"xs","initial","Uk",TRUE,"320","xsUk"
"rd","final","ug",FALSE,"320","rdug"
"ms","initial","Ub",TRUE,"320","msUb"
"k","final","up",FALSE,"320","kup"
"sht","initial","Ib",TRUE,"320","shtIb"
"shr","initial","Un",FALSE,"320","shrUn"
"vn","initial","Up",TRUE,"320","vnUp"
"xr","final","um",TRUE,"320","xrum"
"rn","final","iv",TRUE,"320","rniv"
"rd","initial","Un",TRUE,"320","rdUn"
"k","initial","Iv",TRUE,"320","kIv"
"vz","initial","Up",FALSE,"320","vzUp"
"vd","final","iz",FALSE,"320","vdiz"
"vn","final","ib",TRUE,"320","vnib"
"xr","final","iv",TRUE,"320","xriv"
"xs","final","in",FALSE,"320","xsin"
"fs","initial","In",TRUE,"320","fsIn"
"ms","final","ix",TRUE,"320","msix"
"shr","final","uk",TRUE,"320","shruk"
"sht","final","in",FALSE,"320","shtin"
"xs","final","up",TRUE,"320","xsup"
"k","final","iz",TRUE,"320","kiz"
"fs","final","un",TRUE,"320","fsun"
"vn","initial","Id",TRUE,"320","vnId"
"ms","final","uf",TRUE,"320","msuf"
"vz","final","in",FALSE,"320","vzin"
"vd","initial","Um",FALSE,"320","vdUm"
"sht","initial","Up",TRUE,"320","shtUp"
"xr","initial","Ig",TRUE,"320","xrIg"
"rd","initial","Iv",FALSE,"320","rdIv"
"shr","final","ib",TRUE,"320","shrib"
"rn","initial","Uf",TRUE,"320","rnUf"
"ms","initial","Iz",TRUE,"320","msIz"
"fs","initial","Um",TRUE,"320","fsUm"
"shr","initial","Iv",TRUE,"320","shrIv"
"xr","initial","Ub",TRUE,"320","xrUb"
"vd","initial","In",TRUE,"320","vdIn"
"vz","final","ub",TRUE,"320","vzub"
"xs","initial","Ix",TRUE,"320","xsIx"
"k","initial","Uf",TRUE,"320","kUf"
"rn","final","ug",FALSE,"320","rnug"
"vn","final","un",TRUE,"320","vnun"
"sht","final","un",TRUE,"320","shtun"
"rd","final","ig",FALSE,"320","rdig"
"vn","initial","Id",TRUE,"322","vnId"
"xs","initial","Uk",FALSE,"322","xsUk"
"vz","initial","Id",FALSE,"322","vzId"
"shr","final","ib",FALSE,"322","shrib"
"rd","initial","Un",FALSE,"322","rdUn"
"xr","final","um",TRUE,"322","xrum"
"sht","final","un",TRUE,"322","shtun"
"fs","initial","Um",TRUE,"322","fsUm"
"k","final","up",FALSE,"322","kup"
"rn","final","iv",FALSE,"322","rniv"
"vd","final","uk",FALSE,"322","vduk"
"ms","final","uf",FALSE,"322","msuf"
"rd","final","ig",FALSE,"322","rdig"
"sht","final","in",FALSE,"322","shtin"
"k","initial","Uf",TRUE,"322","kUf"
"xr","final","iv",FALSE,"322","xriv"
"ms","initial","Ub",FALSE,"322","msUb"
"rn","initial","Uf",FALSE,"322","rnUf"
"xs","final","in",TRUE,"322","xsin"
"vz","final","ub",TRUE,"322","vzub"
"fs","final","ig",FALSE,"322","fsig"
"vn","initial","Up",TRUE,"322","vnUp"
"vd","final","iz",FALSE,"322","vdiz"
"shr","final","uk",FALSE,"322","shruk"
"vn","final","un",FALSE,"322","vnun"
"fs","final","un",FALSE,"322","fsun"
"xs","initial","Ix",FALSE,"322","xsIx"
"sht","initial","Up",FALSE,"322","shtUp"
"vd","initial","In",FALSE,"322","vdIn"
"shr","initial","Iv",FALSE,"322","shrIv"
"vz","initial","Up",FALSE,"322","vzUp"
"ms","final","ix",FALSE,"322","msix"
"xr","initial","Ub",TRUE,"322","xrUb"
"rn","initial","Ix",TRUE,"322","rnIx"
"k","final","iz",TRUE,"322","kiz"
"rd","final","ug",TRUE,"322","rdug"
"xs","final","up",TRUE,"322","xsup"
"shr","initial","Un",FALSE,"322","shrUn"
"vd","initial","Um",TRUE,"322","vdUm"
"xr","initial","Ig",TRUE,"322","xrIg"
"k","initial","Iv",TRUE,"322","kIv"
"vn","final","ib",FALSE,"322","vnib"
"sht","initial","Ib",TRUE,"322","shtIb"
"fs","initial","In",TRUE,"322","fsIn"
"ms","initial","Iz",TRUE,"322","msIz"
"vz","final","in",TRUE,"322","vzin"
"rn","final","ug",TRUE,"322","rnug"
"rd","initial","Iv",TRUE,"322","rdIv"
"rn","initial","Ix",FALSE,"323","rnIx"
"xr","initial","Ig",TRUE,"323","xrIg"
"k","final","iz",TRUE,"323","kiz"
"sht","initial","Up",FALSE,"323","shtUp"
"vd","initial","Um",FALSE,"323","vdUm"
"fs","initial","In",FALSE,"323","fsIn"
"xs","initial","Uk",FALSE,"323","xsUk"
"vz","final","in",FALSE,"323","vzin"
"rd","initial","Iv",FALSE,"323","rdIv"
"vn","initial","Up",FALSE,"323","vnUp"
"shr","final","ib",FALSE,"323","shrib"
"ms","final","uf",FALSE,"323","msuf"
"vd","final","iz",FALSE,"323","vdiz"
"shr","initial","Un",FALSE,"323","shrUn"
"xs","final","up",FALSE,"323","xsup"
"rd","final","ug",FALSE,"323","rdug"
"fs","final","un",FALSE,"323","fsun"
"rn","final","iv",FALSE,"323","rniv"
"ms","initial","Ub",FALSE,"323","msUb"
"vn","initial","Id",FALSE,"323","vnId"
"xr","final","um",TRUE,"323","xrum"
"sht","final","un",FALSE,"323","shtun"
"k","initial","Iv",TRUE,"323","kIv"
"vz","initial","Up",FALSE,"323","vzUp"
"sht","initial","Ib",FALSE,"323","shtIb"
"fs","initial","Um",FALSE,"323","fsUm"
"vn","final","un",FALSE,"323","vnun"
"xr","initial","Ub",TRUE,"323","xrUb"
"vz","final","ub",FALSE,"323","vzub"
"k","initial","Uf",TRUE,"323","kUf"
"vd","initial","In",FALSE,"323","vdIn"
"rn","final","ug",FALSE,"323","rnug"
